2025-06-02 02:18:14 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 02:32:40 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 02:32:42 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:44:51 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:44:52 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:44:55 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:44:57 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:44:59 - Completed: comic_add - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:01 - Completed: comic_add - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:04 - Completed: comic_add - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:06 - Completed: comic_add - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:08 - Completed: comic_add - {'comic_id': 'blue-lock', 'url': 'https://komiku.org/manga/blue-lock'}
2025-06-02 05:45:10 - Completed: comic_add - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:12 - Completed: comic_add - {'comic_id': 'blue-lock', 'url': 'https://komiku.org/manga/blue-lock'}
2025-06-02 05:45:14 - Completed: comic_add - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia/'}
2025-06-02 05:45:16 - Completed: comic_update - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:19 - Completed: comic_update - {'comic_id': 'blue-lock', 'url': 'https://komiku.org/manga/blue-lock'}
2025-06-02 05:45:22 - Completed: comic_update - {'comic_id': 'magic-emperor', 'url': 'https://komiku.org/manga/magic-emperor'}
2025-06-02 05:45:24 - Completed: comic_update - {'comic_id': 'blue-lock', 'url': 'https://komiku.org/manga/blue-lock'}
2025-06-02 05:45:27 - Completed: comic_update - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:45:32 - Completed: comic_update - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:45:34 - Completed: comic_update - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-02 05:45:36 - Completed: comic_update - {'comic_id': 'black-clover-indonesia', 'url': 'https://komiku.org/manga/black-clover-indonesia'}
2025-06-06 12:52:43 - INFO - [CHECKPOINT] Processing task: {'task': 'add_comic', 'url': 'https://komiku.org/manga/blue-lock'}
2025-06-06 12:52:43 - INFO - [CHECKPOINT] Processing task: {'task': 'update_comic', 'url': 'https://komiku.org/manga/magic-emperor', 'start': 1.0, 'end': 2.0, 'overwrite': False}
2025-06-06 12:52:48 - INFO - [CHECKPOINT] Selesai memproses 2 tugas, 0 tugas tersisa
