2025-06-11 06:51:03,180 - INFO - Mulai update chapter: https://komiku.org/manga/dandadan
2025-06-11 06:51:03,180 - INFO - Nama komik dari URL: ID=dandadan, Display=Dandadan
2025-06-11 06:51:04,172 - INFO - Found 199 chapter links
2025-06-11 06:51:04,174 - INFO - Chapter: Chapter 197, URL: https://komiku.org/dandadan-chapter-197/
2025-06-11 06:51:04,175 - INFO - Chapter: Chapter 196, URL: https://komiku.org/dandadan-chapter-196/
2025-06-11 06:51:04,175 - INFO - Chapter: Chapter 195, URL: https://komiku.org/dandadan-chapter-195/
2025-06-11 06:51:04,176 - INFO - Chapter: Chapter 194, URL: https://komiku.org/dandadan-chapter-194/
2025-06-11 06:51:04,177 - INFO - Chapter: Chapter 193, URL: https://komiku.org/dandadan-chapter-193/
2025-06-11 06:51:04,178 - INFO - Chapter: Chapter 192, URL: https://komiku.org/dandadan-chapter-192/
2025-06-11 06:51:04,178 - INFO - Chapter: Chapter 191, URL: https://komiku.org/dandadan-chapter-191/
2025-06-11 06:51:04,179 - INFO - Chapter: Chapter 190, URL: https://komiku.org/dandadan-chapter-190/
2025-06-11 06:51:04,179 - INFO - Chapter: Chapter 189, URL: https://komiku.org/dandadan-chapter-189/
2025-06-11 06:51:04,180 - INFO - Chapter: Chapter 188, URL: https://komiku.org/dandadan-chapter-188/
2025-06-11 06:51:04,180 - INFO - Chapter: Chapter 187, URL: https://komiku.org/dandadan-chapter-187/
2025-06-11 06:51:04,181 - INFO - Chapter: Chapter 186, URL: https://komiku.org/dandadan-chapter-186/
2025-06-11 06:51:04,181 - INFO - Chapter: Chapter 185, URL: https://komiku.org/dandadan-chapter-185/
2025-06-11 06:51:04,182 - INFO - Chapter: Chapter 184, URL: https://komiku.org/dandadan-chapter-184/
2025-06-11 06:51:04,182 - INFO - Chapter: Chapter 183, URL: https://komiku.org/dandadan-chapter-183/
2025-06-11 06:51:04,183 - INFO - Chapter: Chapter 182, URL: https://komiku.org/dandadan-chapter-182/
2025-06-11 06:51:04,184 - INFO - Chapter: Chapter 181, URL: https://komiku.org/dandadan-chapter-181/
2025-06-11 06:51:04,184 - INFO - Chapter: Chapter 180, URL: https://komiku.org/dandadan-chapter-180/
2025-06-11 06:51:04,185 - INFO - Chapter: Chapter 179, URL: https://komiku.org/dandadan-chapter-179/
2025-06-11 06:51:04,186 - INFO - Chapter: Chapter 178, URL: https://komiku.org/dandadan-chapter-178/
2025-06-11 06:51:04,186 - INFO - Chapter: Chapter 177, URL: https://komiku.org/dandadan-chapter-177/
2025-06-11 06:51:04,187 - INFO - Chapter: Chapter 176, URL: https://komiku.org/dandadan-chapter-176/
2025-06-11 06:51:04,187 - INFO - Chapter: Chapter 175, URL: https://komiku.org/dandadan-chapter-175/
2025-06-11 06:51:04,188 - INFO - Chapter: Chapter 174, URL: https://komiku.org/dandadan-chapter-174/
2025-06-11 06:51:04,189 - INFO - Chapter: Chapter 173, URL: https://komiku.org/dandadan-chapter-173/
2025-06-11 06:51:04,189 - INFO - Chapter: Chapter 172, URL: https://komiku.org/dandadan-chapter-172/
2025-06-11 06:51:04,190 - INFO - Chapter: Chapter 171, URL: https://komiku.org/dandadan-chapter-171/
2025-06-11 06:51:04,191 - INFO - Chapter: Chapter 170, URL: https://komiku.org/dandadan-chapter-170/
2025-06-11 06:51:04,191 - INFO - Chapter: Chapter 169, URL: https://komiku.org/dandadan-chapter-169/
2025-06-11 06:51:04,192 - INFO - Chapter: Chapter 168, URL: https://komiku.org/dandadan-chapter-168/
2025-06-11 06:51:04,195 - INFO - Chapter: Chapter 167, URL: https://komiku.org/dandadan-chapter-167/
2025-06-11 06:51:04,272 - INFO - Chapter: Chapter 166, URL: https://komiku.org/dandadan-chapter-166/
2025-06-11 06:51:04,279 - INFO - Chapter: Chapter 165, URL: https://komiku.org/dandadan-chapter-165/
2025-06-11 06:51:04,282 - INFO - Chapter: Chapter 164, URL: https://komiku.org/dandadan-chapter-164/
2025-06-11 06:51:04,283 - INFO - Chapter: Chapter 163, URL: https://komiku.org/dandadan-chapter-163/
2025-06-11 06:51:04,284 - INFO - Chapter: Chapter 162, URL: https://komiku.org/dandadan-chapter-162/
2025-06-11 06:51:04,284 - INFO - Chapter: Chapter 161, URL: https://komiku.org/dandadan-chapter-161/
